城市,房名,类型,地址,销售状态,特色,价格(元/㎡)
广州,铂玥明珠ONE,三居/四居—79~110平米,南沙横沥国际金融岛地铁18号线横沥地铁站口直线距离约500米,在售,小户型/低总价/普通住宅/综合体,35500
广州,越秀联投知识城·居山涧,,黄埔凤凰湖畔,待售,大平层/叠拼,
广州,旭辉曜玥湾,三居—99~126平米,"南沙国际金融岛·iff会址旁(横沥大道与星灿路交界,临近18号横沥站)",在售,国际化社区/品牌地产/普通住宅/综合体,36000
广州,广州龙湖·揽境,四居—121~122平米,黄埔永顺大道南,在售,品牌地产/洋房/普通住宅,38000
广州,旭辉绿地铂云天境,三居/四居—75~114平米,"白云钟落潭地铁a口约900米,健康大道规划12路",在售,低密居所/地铁沿线/品牌地产/普通住宅,26000
广州,中奥方直明日公元,二居/三居—75~96平米,增城朱村大道西地铁21号线凤岗站c出口旁,在售,地铁沿线/品牌地产/住宅底商/普通住宅,18500
广州,星汇城TOD,二居/三居/四居—69~126平米,黄埔知识城镇龙地铁站c出口,在售,教育地产/地铁沿线/小户型/普通住宅,27000
广州,越秀·和樾府,三居/四居—105~140平米,番禺番禺大道与汉溪大道交汇处西侧,在售,豪华居住区/地铁沿线/品牌地产/普通住宅,62000
广州,万科金域曦府,三居/四居—94~135平米,荔湾花地大道309号(地铁1号线花地湾旁),在售,国际化社区/品牌地产/购物中心/普通住宅,55000
广州,星瀚TOD,一居/二居/三居/四居—73~112平米,番禺地铁22号线陈头岗站旁,在售,地铁沿线/品牌地产/普通住宅,37500
广州,华标·峰湖御境,五居/五居以上—360~690平米,黄埔大观路北黄陂地铁站旁,在售,地铁沿线/品牌地产/联排/独栋,52000
广州,保利越秀·天启,二居/三居—87~106平米,荔湾白鹤洞街道沙涌地铁站旁,在售,品牌地产/商业/普通住宅,53000
广州,敏捷绿湖首府,二居/三居/四居—71~127平米,增城新城大道旁,在售,花园洋房/普通住宅,15800
广州,越秀·大学·星汇城,,[undefined]番禺广州国际创新城·大学城·南大干线·暨南大学北侧,待售,商业/普通住宅,
广州,中海观雲府,三居/四居—86~164平米,海珠·海珠湾·南洲地铁站旁,在售,地铁沿线/品牌地产/住宅底商/普通住宅,70000
广州,越秀·星寰TOD,二居/三居/四居—90~115平米,番禺汉溪大道7号线谢村站a口旁(约300米),在售,地铁沿线/国际化社区/品牌地产/普通住宅,40000
广州,越秀·星汇文玺,二居/三居/四居—76~117平米,番禺国际创新城·番禺南大干线·越秀星汇文玺营销中心,在售,国际化社区/品牌地产/住宅底商/普通住宅,44000
广州,珠江铂世湾,三居/四居—105~125平米,番禺华南新城高尔夫东侧,在售,低密居所/地铁沿线/国际化社区/普通住宅,48000
广州,碧桂园云顶,三居/五居—90~205平米,增城广园快速路新塘出口凤凰城五环岛(西行800米),在售,低密居所/品牌地产/住宅底商/普通住宅,26000
